agid,active,posi.x,posi.y,size,view,mov,condition,spd.x,spd.y,interact_with
29,1,2.17319,0.628689,0.0008,0.01,0.5,0,-0.000745,-0.0016,-1,
30,1,2.27553,0.538545,0.000868,0.01,0.5,0,0.00083,-0.001285,-1,
31,1,2.07481,0.477074,0.000647,0.01,0.5,0,0.00071,-0.001005,-1,
32,1,2.1988,0.45608,0.000749,0.01,0.5,0,0.00132,-0.00083,-1,
33,1,2.17534,0.380153,0.000834,0.01,0.5,0,-0.001425,-0.000725,-1,
34,1,2.53731,0.454984,0.000868,0.01,0.5,0,-0.00146,-0.001005,-1,
35,1,2.34475,0.433469,0.000817,0.01,0.5,0,-0.001285,-0.000165,-1,
36,1,2.26474,0.53644,0.000834,0.01,0.5,0,0.000465,0.00118,-1,
37,1,2.28585,0.489478,0.000766,0.01,0.5,2,-0.00265,-0.0033,108,
38,1,2.21207,0.549539,0.000749,0.01,0.5,0,0.00034,-0.000255,-1,
39,1,2.30514,0.427778,0.000868,0.01,0.5,0,0.001565,0.0016,-1,
40,1,2.57836,0.409738,0.000715,0.01,0.5,0,0.00132,-0.001145,-1,
41,1,2.25124,0.495053,0.000868,0.01,0.5,0,0.00132,0.000865,-1,
42,1,2.10117,0.458558,0.000783,0.01,0.5,0,-0.000445,-0.000445,-1,
43,1,2.16386,0.518835,0.000766,0.01,0.5,0,0.00022,-1.00002e-05,-1,
44,1,2.29553,0.31435,0.000817,0.01,0.5,0,0.00153,-0.000865,-1,
45,1,2.65979,0.417764,0.000817,0.01,0.5,0,0.001215,-0.000235,-1,
46,1,2.07932,0.446635,0.000681,0.01,0.5,0,0.00153,-0.001565,-1,
47,1,2.4657,0.496023,0.000681,0.01,0.5,0,0.000165,-0.001025,-1,
48,1,2.54628,0.412728,0.000851,0.01,0.5,0,0.001355,-0.001215,-1,
49,1,2.25285,0.33585,0.0008,0.01,0.5,0,-0.000585,-0.0016,-1,
50,1,2.1743,0.536713,0.000766,0.01,0.5,0,-0.00027,9.5e-05,-1,
51,1,2.21296,0.356428,0.000749,0.01,0.5,0,-0.00146,-0.000935,-1,
52,1,2.60296,0.395588,0.000868,0.01,0.5,0,0.00125,0.001585,-1,
53,1,2.72752,0.477044,0.000732,0.01,0.5,0,-0.00029,-2.50002e-05,-1,
54,1,2.37544,0.42316,0.000766,0.01,0.5,0,0.00148,0.00092,-1,
55,1,2.27555,0.50782,0.000664,0.01,0.5,0,-0.000585,0.00153,-1,
56,1,2.12015,0.313325,0.000732,0.01,0.5,0,0.00078,0.001305,-1,
